#,tamanho,threads,sequencial,paralelo,libc
1,1000,1,0.000132,0.000261,0.000232
2,1000,1,0.000132,0.000269,0.000225
3,1000,1,0.000131,0.000253,0.000227
4,1000,1,0.000145,0.000241,0.000221
5,1000,1,0.000133,0.000249,0.000211
6,1000,1,0.000130,0.000271,0.000207
7,1000,1,0.000131,0.000303,0.000211
8,1000,1,0.000122,0.000259,0.000210
9,1000,1,0.000130,0.000236,0.000214
10,1000,1,0.000145,0.000246,0.000213
11,1000,1,0.000131,0.000239,0.000217
12,1000,1,0.000132,0.000244,0.000214
13,1000,1,0.000132,0.000251,0.000226
14,1000,1,0.000124,0.000346,0.000213
15,1000,1,0.000131,0.000243,0.000217
16,1000,1,0.000130,0.000260,0.000229
17,1000,1,0.000131,0.000239,0.000206
18,1000,1,0.000130,0.000276,0.000221
19,1000,1,0.000122,0.000331,0.000210
20,1000,1,0.000131,0.000296,0.000210
21,1000,1,0.000131,0.000274,0.000210
22,1000,1,0.000159,0.000299,0.000221
23,1000,1,0.000133,0.000264,0.000212
24,1000,1,0.000132,0.000733,0.000219
25,1000,1,0.000135,0.000274,0.000208
26,1000,1,0.000126,0.000355,0.000222
27,1000,1,0.000142,0.000321,0.000225
28,1000,1,0.000130,0.000247,0.000210
29,1000,1,0.000130,0.000233,0.000211
30,1000,1,0.000123,0.000294,0.000215
1,1000,2,0.000131,0.001351,0.000225
2,1000,2,0.000123,0.000912,0.000216
3,1000,2,0.000131,0.000295,0.000219
4,1000,2,0.000131,0.001271,0.000219
5,1000,2,0.000131,0.000282,0.000215
6,1000,2,0.000148,0.001384,0.000219
7,1000,2,0.000131,0.000834,0.000214
8,1000,2,0.000143,0.001589,0.000214
9,1000,2,0.000124,0.001503,0.000215
10,1000,2,0.000124,0.001790,0.000213
11,1000,2,0.000139,0.004026,0.000299
12,1000,2,0.000130,0.003569,0.000349
13,1000,2,0.000145,0.001012,0.000244
14,1000,2,0.000124,0.001568,0.000239
15,1000,2,0.000138,0.000897,0.000242
16,1000,2,0.000130,0.001301,0.000225
17,1000,2,0.000131,0.003828,0.000271
18,1000,2,0.000131,0.002985,0.000274
19,1000,2,0.000130,0.000865,0.000223
20,1000,2,0.000131,0.000853,0.000218
21,1000,2,0.000131,0.001293,0.000221
22,1000,2,0.000132,0.001823,0.000221
23,1000,2,0.000132,0.001341,0.000219
24,1000,2,0.000123,0.000820,0.000214
25,1000,2,0.000132,0.000807,0.000214
26,1000,2,0.000131,0.001254,0.000218
27,1000,2,0.000131,0.000283,0.000235
28,1000,2,0.000130,0.000296,0.000211
29,1000,2,0.000130,0.001282,0.000217
30,1000,2,0.000130,0.000817,0.000220
1,1000,4,0.000134,0.006933,0.000228
2,1000,4,0.000130,0.016362,0.000244
3,1000,4,0.000133,0.010633,0.000240
4,1000,4,0.000131,0.010506,0.000229
5,1000,4,0.000132,0.018812,0.000238
6,1000,4,0.000135,0.010591,0.000232
7,1000,4,0.000132,0.010518,0.000247
8,1000,4,0.000131,0.010686,0.000251
9,1000,4,0.000131,0.010610,0.000251
10,1000,4,0.000142,0.010917,0.000240
11,1000,4,0.000132,0.009159,0.000235
12,1000,4,0.000133,0.007913,0.000228
13,1000,4,0.000135,0.008291,0.000228
14,1000,4,0.000132,0.009881,0.000245
15,1000,4,0.000137,0.009965,0.000279
16,1000,4,0.000173,0.010092,0.000243
17,1000,4,0.000132,0.006723,0.000232
18,1000,4,0.000135,0.007276,0.000229
19,1000,4,0.000131,0.007684,0.000234
20,1000,4,0.000145,0.008314,0.000227
21,1000,4,0.000132,0.008524,0.000241
22,1000,4,0.000132,0.009710,0.000236
23,1000,4,0.000130,0.008910,0.000228
24,1000,4,0.000132,0.010023,0.000239
25,1000,4,0.000134,0.010365,0.000247
26,1000,4,0.000139,0.009527,0.000229
27,1000,4,0.000149,0.007638,0.000229
28,1000,4,0.000131,0.008144,0.000228
29,1000,4,0.000130,0.007905,0.000223
30,1000,4,0.000132,0.008183,0.000232
1,1000,8,0.000133,0.094017,0.000257
2,1000,8,0.000134,0.075368,0.000255
3,1000,8,0.000134,0.085390,0.000253
4,1000,8,0.000138,0.075831,0.000258
5,1000,8,0.000136,0.086223,0.000255
6,1000,8,0.000131,0.073735,0.000252
7,1000,8,0.000138,0.082011,0.000261
