#,tamanho,threads,sequencial,paralelo,libc
1,1000000,1,0.232009,0.210830,0.245801
2,1000000,1,0.228618,0.194534,0.240276
3,1000000,1,0.236170,0.179683,0.240622
4,1000000,1,0.229540,0.211849,0.242731
5,1000000,1,0.231278,0.212326,0.240090
6,1000000,1,0.230877,0.235018,0.238220
7,1000000,1,0.226673,0.221621,0.247004
8,1000000,1,0.228795,0.228043,0.248749
9,1000000,1,0.232078,0.202337,0.240177
10,1000000,1,0.236475,0.215038,0.242912
11,1000000,1,0.230416,0.168797,0.244669
12,1000000,1,0.230940,0.175545,0.240489
13,1000000,1,0.236125,0.198748,0.238472
14,1000000,1,0.231493,0.188442,0.271447
15,1000000,1,0.230997,0.196805,0.242677
16,1000000,1,0.230189,0.193611,0.238803
17,1000000,1,0.229158,0.179856,0.242644
18,1000000,1,0.229636,0.171866,0.241575
19,1000000,1,0.232676,0.216559,0.240615
20,1000000,1,0.226388,0.207757,0.245636
21,1000000,1,0.223929,0.210594,0.242919
22,1000000,1,0.251853,0.220867,0.240222
23,1000000,1,0.229100,0.214270,0.241230
24,1000000,1,0.228229,0.218388,0.238470
25,1000000,1,0.232682,0.217606,0.240727
26,1000000,1,0.227845,0.198020,0.240056
27,1000000,1,0.227474,0.198525,0.240209
28,1000000,1,0.228998,0.201722,0.241607
29,1000000,1,0.226661,0.181027,0.238298
30,1000000,1,0.231571,0.204845,0.237732
1,1000000,2,0.234924,0.153771,0.243483
2,1000000,2,0.229206,0.171648,0.246346
3,1000000,2,0.229128,0.151932,0.244988
4,1000000,2,0.231119,0.152226,0.241742
5,1000000,2,0.224544,0.157574,0.269655
6,1000000,2,0.236850,0.149830,0.240477
7,1000000,2,0.245420,0.155439,0.246082
8,1000000,2,0.225522,0.149296,0.265653
9,1000000,2,0.233070,0.162808,0.239818
10,1000000,2,0.231719,0.160126,0.252762
11,1000000,2,0.229687,0.152692,0.240020
12,1000000,2,0.248704,0.181812,0.240958
13,1000000,2,0.225735,0.174849,0.252345
14,1000000,2,0.228869,0.181490,0.238305
15,1000000,2,0.238873,0.153303,0.240073
16,1000000,2,0.230426,0.148491,0.248985
17,1000000,2,0.234884,0.201592,0.240322
18,1000000,2,0.237608,0.146050,0.240844
19,1000000,2,0.228845,0.147768,0.247822
20,1000000,2,0.230104,0.192943,0.238879
21,1000000,2,0.237760,0.158964,0.239866
22,1000000,2,0.230784,0.165341,0.245104
23,1000000,2,0.229475,0.223242,0.241917
24,1000000,2,0.261707,0.147838,0.238284
25,1000000,2,0.228434,0.146025,0.244836
26,1000000,2,0.227620,0.185638,0.240745
27,1000000,2,0.233414,0.190251,0.240627
28,1000000,2,0.231465,0.163357,0.241674
29,1000000,2,0.230419,0.154362,0.239050
30,1000000,2,0.237532,0.200455,0.241467
1,1000000,4,0.229053,0.136182,0.239229
2,1000000,4,0.234096,0.134184,0.243892
3,1000000,4,0.230671,0.155853,0.268907
4,1000000,4,0.227106,0.152945,0.239916
5,1000000,4,0.237691,0.154146,0.240819
6,1000000,4,0.233384,0.157285,0.246772
7,1000000,4,0.230913,0.150294,0.241189
8,1000000,4,0.228526,0.171580,0.241666
9,1000000,4,0.230601,0.156586,0.248970
10,1000000,4,0.230858,0.143917,0.245754
11,1000000,4,0.235334,0.141281,0.269469
12,1000000,4,0.229552,0.181294,0.247720
13,1000000,4,0.229854,0.148578,0.246024
14,1000000,4,0.234281,0.171326,0.243710
15,1000000,4,0.235012,0.143235,0.243524
16,1000000,4,0.239588,0.136735,0.247743
17,1000000,4,0.229956,0.138864,0.258169
18,1000000,4,0.234912,0.162307,0.246610
19,1000000,4,0.252643,0.153171,0.243161
20,1000000,4,0.230633,0.147131,0.248791
21,1000000,4,0.238827,0.141449,0.240644
22,1000000,4,0.232650,0.153229,0.248099
23,1000000,4,0.230262,0.152075,0.246319
24,1000000,4,0.233421,0.140926,0.240268
25,1000000,4,0.231291,0.170440,0.271353
26,1000000,4,0.229057,0.163662,0.243021
27,1000000,4,0.244229,0.149449,0.241615
28,1000000,4,0.228493,0.157235,0.251457
29,1000000,4,0.229949,0.166837,0.242837
30,1000000,4,0.235585,0.233321,0.244203
1,1000000,8,0.231572,0.205226,0.247337
2,1000000,8,0.234287,0.186252,0.238112
3,1000000,8,0.235539,0.174445,0.238947
4,1000000,8,0.226881,0.185127,0.248093
5,1000000,8,0.233728,0.179181,0.238823
6,1000000,8,0.235684,0.189865,0.239390
7,1000000,8,0.232618,0.174204,0.248443
8,1000000,8,0.230522,0.185457,0.239123
9,1000000,8,0.253185,0.199455,0.246978
10,1000000,8,0.235164,0.181729,0.244168
11,1000000,8,0.235073,0.169257,0.243421
12,1000000,8,0.236927,0.194283,0.243359
13,1000000,8,0.227645,0.208585,0.245015
14,1000000,8,0.229013,0.177787,0.247213
15,1000000,8,0.240546,0.184239,0.243114
16,1000000,8,0.228874,0.184399,0.245829
17,1000000,8,0.226041,0.182012,0.245053
18,1000000,8,0.230958,0.180478,0.243952
19,1000000,8,0.230827,0.170403,0.246604
20,1000000,8,0.227388,0.180521,0.243546
21,1000000,8,0.261369,0.186274,0.238973
22,1000000,8,0.235868,0.199096,0.242618
23,1000000,8,0.232953,0.174844,0.239747
24,1000000,8,0.234246,0.166017,0.239229
25,1000000,8,0.231424,0.180368,0.267418
26,1000000,8,0.233418,0.180772,0.240927
27,1000000,8,0.259790,0.180292,0.243783
28,1000000,8,0.229310,0.188927,0.244934
29,1000000,8,0.233497,0.189507,0.241663
30,1000000,8,0.236681,0.180597,0.243457
1,1000000,16,0.228131,9.909161,0.241637
2,1000000,16,0.234850,7.109869,0.243193
3,1000000,16,0.233943,10.201653,0.241840
4,1000000,16,0.233332,6.963780,0.238942
5,1000000,16,0.231810,10.431528,0.244085
6,1000000,16,0.227375,8.003656,0.240091
7,1000000,16,0.234179,5.732559,0.246063
8,1000000,16,0.235333,7.681994,0.247159
9,1000000,16,0.229327,8.081909,0.243625
10,1000000,16,0.232349,10.523099,0.243866
11,1000000,16,0.231891,9.372140,0.244350
12,1000000,16,0.233724,7.595318,0.242314
13,1000000,16,0.229616,7.948920,0.273135
14,1000000,16,0.227706,6.411781,0.243183
15,1000000,16,0.232560,6.999246,0.243483
16,1000000,16,0.232852,7.064792,0.244368
17,1000000,16,0.229946,8.362571,0.245079
18,1000000,16,0.232794,8.977531,0.241572
19,1000000,16,0.230825,5.933379,0.241824
20,1000000,16,0.237732,9.567860,0.277509
21,1000000,16,0.236138,9.018865,0.244379
22,1000000,16,0.223699,8.357421,0.240474
23,1000000,16,0.237229,9.647556,0.245480
24,1000000,16,0.238295,9.945970,0.248932
25,1000000,16,0.233261,6.982387,0.238991
26,1000000,16,0.228919,8.884528,0.277238
27,1000000,16,0.236482,8.646550,0.243579
28,1000000,16,0.239362,9.267796,0.249756
29,1000000,16,0.235879,8.915223,0.271571
30,1000000,16,0.234011,9.415220,0.246432
