#,tamanho,threads,sequencial,paralelo,libc
1,100000,1,0.019905,0.017077,0.020033
2,100000,1,0.019288,0.019114,0.021368
3,100000,1,0.019702,0.017422,0.020109
4,100000,1,0.019290,0.017302,0.021502
5,100000,1,0.019385,0.017057,0.019968
6,100000,1,0.019476,0.018592,0.022724
7,100000,1,0.020413,0.018201,0.019975
8,100000,1,0.019286,0.016924,0.020707
9,100000,1,0.019300,0.017635,0.019940
10,100000,1,0.019267,0.017024,0.020726
11,100000,1,0.019029,0.015797,0.020090
12,100000,1,0.019061,0.015457,0.020832
13,100000,1,0.019093,0.015500,0.020048
14,100000,1,0.018985,0.014947,0.020819
15,100000,1,0.019006,0.015421,0.019987
16,100000,1,0.019012,0.014571,0.020980
17,100000,1,0.019548,0.016191,0.019973
18,100000,1,0.019067,0.015250,0.020752
19,100000,1,0.019055,0.015596,0.020061
20,100000,1,0.019076,0.015275,0.021129
21,100000,1,0.019027,0.015149,0.019970
22,100000,1,0.018998,0.015444,0.021170
23,100000,1,0.019059,0.014618,0.020052
24,100000,1,0.019495,0.016477,0.022553
25,100000,1,0.020294,0.015888,0.019972
26,100000,1,0.019157,0.014589,0.020989
27,100000,1,0.019082,0.014710,0.020104
28,100000,1,0.019055,0.016638,0.021057
29,100000,1,0.019098,0.015810,0.020043
30,100000,1,0.019125,0.016465,0.020897
1,100000,2,0.019162,0.013426,0.019948
2,100000,2,0.019101,0.015746,0.021097
3,100000,2,0.019128,0.015500,0.020047
4,100000,2,0.019431,0.017421,0.022812
5,100000,2,0.019069,0.014058,0.020225
6,100000,2,0.019150,0.013322,0.021134
7,100000,2,0.019172,0.015325,0.020559
8,100000,2,0.019215,0.015043,0.021212
9,100000,2,0.019118,0.013649,0.020571
10,100000,2,0.019322,0.015862,0.021364
11,100000,2,0.019721,0.017823,0.021170
12,100000,2,0.020273,0.015240,0.021382
13,100000,2,0.019271,0.013986,0.019946
14,100000,2,0.019139,0.015480,0.021098
15,100000,2,0.019166,0.013964,0.019959
16,100000,2,0.019088,0.014512,0.020893
17,100000,2,0.019137,0.013517,0.019978
18,100000,2,0.019108,0.015927,0.020507
19,100000,2,0.019079,0.014827,0.019980
20,100000,2,0.019279,0.013985,0.020432
21,100000,2,0.019105,0.015618,0.020497
22,100000,2,0.019172,0.015406,0.021422
23,100000,2,0.019219,0.015377,0.020400
24,100000,2,0.019121,0.013737,0.021244
25,100000,2,0.020124,0.014050,0.020208
26,100000,2,0.019192,0.016176,0.021975
27,100000,2,0.019149,0.015106,0.020826
28,100000,2,0.019129,0.015398,0.021390
29,100000,2,0.020026,0.016565,0.021134
30,100000,2,0.020329,0.020027,0.021522
1,100000,4,0.019137,0.021383,0.020799
2,100000,4,0.021109,0.025482,0.020072
3,100000,4,0.020303,0.019276,0.020290
4,100000,4,0.020340,0.021159,0.020443
5,100000,4,0.020367,0.019431,0.020339
6,100000,4,0.020363,0.023126,0.020020
7,100000,4,0.020960,0.020984,0.020487
8,100000,4,0.020381,0.019521,0.020052
9,100000,4,0.020382,0.019990,0.020970
10,100000,4,0.020310,0.024773,0.020233
11,100000,4,0.020290,0.017292,0.021254
12,100000,4,0.020485,0.019680,0.020303
13,100000,4,0.020467,0.016243,0.020530
14,100000,4,0.020411,0.022677,0.021656
15,100000,4,0.026177,0.016085,0.026689
16,100000,4,0.020498,0.024172,0.019939
17,100000,4,0.020134,0.022439,0.020387
18,100000,4,0.019329,0.016205,0.020474
19,100000,4,0.019108,0.020255,0.020255
20,100000,4,0.018949,0.014635,0.021140
21,100000,4,0.019016,0.017454,0.020648
22,100000,4,0.019926,0.025868,0.021856
23,100000,4,0.018999,0.016118,0.020049
24,100000,4,0.019181,0.017708,0.021637
25,100000,4,0.018949,0.015353,0.020567
26,100000,4,0.019068,0.021615,0.021797
27,100000,4,0.019730,0.022835,0.020893
28,100000,4,0.019068,0.022743,0.020014
29,100000,4,0.018953,0.017482,0.020558
30,100000,4,0.019003,0.023820,0.020446
1,100000,8,0.018925,0.170366,0.021243
2,100000,8,0.019794,0.102413,0.020512
3,100000,8,0.020442,0.110581,0.020732
4,100000,8,0.019463,0.133406,0.020379
5,100000,8,0.019247,0.089546,0.021439
6,100000,8,0.019274,0.100261,0.020747
7,100000,8,0.019326,0.136689,0.020540
8,100000,8,0.019441,0.090848,0.021186
