#,tamanho,threads,sequencial,paralelo,libc
1,10000,1,0.001655,0.001531,0.001816
2,10000,1,0.001519,0.001439,0.001786
3,10000,1,0.001577,0.001536,0.001756
4,10000,1,0.001525,0.001463,0.001727
5,10000,1,0.001572,0.001440,0.001686
6,10000,1,0.001521,0.001427,0.001712
7,10000,1,0.001553,0.001560,0.001753
8,10000,1,0.001521,0.001389,0.001720
9,10000,1,0.001524,0.001432,0.001682
10,10000,1,0.001559,0.001568,0.001703
11,10000,1,0.001517,0.001484,0.001697
12,10000,1,0.001559,0.001495,0.001735
13,10000,1,0.001521,0.001503,0.001766
14,10000,1,0.001627,0.001760,0.001702
15,10000,1,0.001519,0.001441,0.001685
16,10000,1,0.001559,0.001624,0.001724
17,10000,1,0.001516,0.001438,0.001695
18,10000,1,0.001751,0.003752,0.002439
19,10000,1,0.001663,0.001804,0.001849
20,10000,1,0.001693,0.001526,0.002061
21,10000,1,0.001587,0.003022,0.001778
22,10000,1,0.001622,0.001742,0.001675
23,10000,1,0.001528,0.001552,0.001706
24,10000,1,0.001526,0.001449,0.001688
25,10000,1,0.001554,0.001531,0.001723
26,10000,1,0.001562,0.001508,0.001685
27,10000,1,0.001558,0.001726,0.001707
28,10000,1,0.001527,0.001770,0.001665
29,10000,1,0.001587,0.001519,0.001713
30,10000,1,0.001520,0.001821,0.001698
1,10000,2,0.001519,0.002277,0.001732
2,10000,2,0.001606,0.002125,0.001682
3,10000,2,0.001518,0.002540,0.001781
4,10000,2,0.001632,0.002225,0.001929
5,10000,2,0.001878,0.002294,0.001686
6,10000,2,0.001519,0.002604,0.001828
7,10000,2,0.001629,0.002752,0.001762
8,10000,2,0.001627,0.002143,0.001741
9,10000,2,0.001518,0.002115,0.001804
10,10000,2,0.001563,0.001664,0.001822
11,10000,2,0.001629,0.002254,0.001703
12,10000,2,0.001523,0.002417,0.001747
13,10000,2,0.001636,0.002318,0.001809
14,10000,2,0.001565,0.002279,0.001686
15,10000,2,0.001521,0.002590,0.001686
16,10000,2,0.001601,0.002402,0.001726
17,10000,2,0.001573,0.002051,0.001791
18,10000,2,0.001619,0.002260,0.001813
19,10000,2,0.001546,0.002229,0.001820
20,10000,2,0.002448,0.002565,0.001725
21,10000,2,0.001553,0.002178,0.001692
22,10000,2,0.001554,0.002849,0.001787
23,10000,2,0.001593,0.002177,0.001695
24,10000,2,0.001525,0.002527,0.001684
25,10000,2,0.001570,0.002373,0.001691
26,10000,2,0.001521,0.002353,0.001693
27,10000,2,0.001518,0.002164,0.001782
28,10000,2,0.001648,0.002131,0.001708
29,10000,2,0.001517,0.002478,0.001795
30,10000,2,0.001523,0.002132,0.001674
1,10000,4,0.001520,0.009859,0.001829
2,10000,4,0.001635,0.016009,0.001821
3,10000,4,0.001636,0.008464,0.001824
4,10000,4,0.001618,0.010717,0.001788
5,10000,4,0.001623,0.011063,0.001816
6,10000,4,0.001638,0.018486,0.001813
7,10000,4,0.001635,0.010241,0.001810
8,10000,4,0.001622,0.009635,0.001806
9,10000,4,0.001621,0.009670,0.001818
10,10000,4,0.001638,0.009794,0.001794
11,10000,4,0.001625,0.007155,0.001813
12,10000,4,0.001621,0.009050,0.001811
13,10000,4,0.001639,0.007479,0.001838
14,10000,4,0.001627,0.008455,0.001815
15,10000,4,0.001653,0.008549,0.001810
16,10000,4,0.001624,0.007724,0.001817
17,10000,4,0.001524,0.013324,0.001837
18,10000,4,0.001536,0.008437,0.001828
19,10000,4,0.001512,0.007899,0.001810
20,10000,4,0.001622,0.007382,0.001792
