#,tamanho,threads,sequencial,paralelo,libc
1,100,1,0.000010,0.000159,0.000011
2,100,1,0.000009,0.000166,0.000011
3,100,1,0.000010,0.000651,0.000011
4,100,1,0.000009,0.000157,0.000011
5,100,1,0.000010,0.000159,0.000012
6,100,1,0.000009,0.000161,0.000010
7,100,1,0.000011,0.000407,0.000010
8,100,1,0.000009,0.000154,0.000012
9,100,1,0.000009,0.000160,0.000011
10,100,1,0.000009,0.000153,0.000011
11,100,1,0.000009,0.000154,0.000011
12,100,1,0.000009,0.000140,0.000011
13,100,1,0.000010,0.000156,0.000011
14,100,1,0.000010,0.000172,0.000011
15,100,1,0.000009,0.000167,0.000011
16,100,1,0.000009,0.000178,0.000012
17,100,1,0.000009,0.000167,0.000011
18,100,1,0.000009,0.006184,0.000018
19,100,1,0.000010,0.000190,0.000013
20,100,1,0.000012,0.000206,0.000015
21,100,1,0.000011,0.000211,0.000012
22,100,1,0.000010,0.000237,0.000011
23,100,1,0.000010,0.000166,0.000010
24,100,1,0.000009,0.000228,0.000011
25,100,1,0.000010,0.000418,0.000011
26,100,1,0.000010,0.000162,0.000012
27,100,1,0.000010,0.000159,0.000011
28,100,1,0.000009,0.000160,0.000011
29,100,1,0.000009,0.000160,0.000012
30,100,1,0.000010,0.000159,0.000012
1,100,2,0.000012,0.001085,0.000012
2,100,2,0.000009,0.001533,0.000012
3,100,2,0.000011,0.001290,0.000016
4,100,2,0.000011,0.001675,0.000012
5,100,2,0.000010,0.000914,0.000011
6,100,2,0.000010,0.000970,0.000011
7,100,2,0.000010,0.000927,0.000012
8,100,2,0.000009,0.000258,0.000011
9,100,2,0.000009,0.001038,0.000011
10,100,2,0.000009,0.000726,0.000011
11,100,2,0.000009,0.000730,0.000011
12,100,2,0.000012,0.000284,0.000011
13,100,2,0.000009,0.001010,0.000011
14,100,2,0.000010,0.000956,0.000011
15,100,2,0.000010,0.001443,0.000011
16,100,2,0.000010,0.000482,0.000011
17,100,2,0.000009,0.001252,0.000010
18,100,2,0.000010,0.000959,0.000011
19,100,2,0.000009,0.000793,0.000012
20,100,2,0.000010,0.000735,0.000010
21,100,2,0.000009,0.000909,0.000012
22,100,2,0.000012,0.001876,0.000011
23,100,2,0.000009,0.000492,0.000011
24,100,2,0.000010,0.000744,0.000011
25,100,2,0.000009,0.000973,0.000011
26,100,2,0.000012,0.001110,0.000011
27,100,2,0.000010,0.001295,0.000010
28,100,2,0.000009,0.000987,0.000011
29,100,2,0.000009,0.000749,0.000011
30,100,2,0.000009,0.001011,0.000011
1,100,4,0.000009,0.007030,0.000011
2,100,4,0.000010,0.005547,0.000012
3,100,4,0.000009,0.007572,0.000011
4,100,4,0.000010,0.007661,0.000011
5,100,4,0.000010,0.018116,0.000014
6,100,4,0.000013,0.008112,0.000016
7,100,4,0.000013,0.014826,0.000016
8,100,4,0.000010,0.003037,0.000015
9,100,4,0.000012,0.006003,0.000011
10,100,4,0.000010,0.011638,0.000012
11,100,4,0.000009,0.013256,0.000012
12,100,4,0.000010,0.008607,0.000011
13,100,4,0.000013,0.015216,0.000016
14,100,4,0.000011,0.009503,0.000016
15,100,4,0.000013,0.008785,0.000015
16,100,4,0.000012,0.004764,0.000016
17,100,4,0.000013,0.010293,0.000016
18,100,4,0.000010,0.013403,0.000012
19,100,4,0.000013,0.012659,0.000014
20,100,4,0.000010,0.008830,0.000013
21,100,4,0.000010,0.011648,0.000013
22,100,4,0.000010,0.010434,0.000011
23,100,4,0.000010,0.008014,0.000010
24,100,4,0.000009,0.006737,0.000011
25,100,4,0.000010,0.005480,0.000011
26,100,4,0.000009,0.006362,0.000011
27,100,4,0.000010,0.008292,0.000012
28,100,4,0.000010,0.007029,0.000011
29,100,4,0.000012,0.011873,0.000013
30,100,4,0.000012,0.007939,0.000012
1,100,8,0.000010,0.022469,0.000012
2,100,8,0.000010,0.016590,0.000012
3,100,8,0.000010,0.015355,0.000011
4,100,8,0.000010,0.017449,0.000011
5,100,8,0.000010,0.010976,0.000012
6,100,8,0.000009,0.016418,0.000012
7,100,8,0.000010,0.019251,0.000012
8,100,8,0.000012,0.023077,0.000014
9,100,8,0.000010,0.015124,0.000012
10,100,8,0.000010,0.017922,0.000011
11,100,8,0.000010,0.014558,0.000012
12,100,8,0.000010,0.018738,0.000012
13,100,8,0.000010,0.019916,0.000012
14,100,8,0.000010,0.025770,0.000013
15,100,8,0.000009,0.027391,0.000013
16,100,8,0.000009,0.016082,0.000012
17,100,8,0.000010,0.018323,0.000011
18,100,8,0.000010,0.016822,0.000011
19,100,8,0.000010,0.016421,0.000012
20,100,8,0.000012,0.020073,0.000012
21,100,8,0.000009,0.022320,0.000012
22,100,8,0.000010,0.017688,0.000012
23,100,8,0.000009,0.021421,0.000012
24,100,8,0.000010,0.020970,0.000014
25,100,8,0.000010,0.015362,0.000011
26,100,8,0.000011,0.015842,0.000012
27,100,8,0.000010,0.017498,0.000012
28,100,8,0.000010,0.017951,0.000012
29,100,8,0.000010,0.021086,0.000012
30,100,8,0.000010,0.023075,0.000013
1,100,16,0.000011,0.027837,0.000014
2,100,16,0.000010,0.024810,0.000013
3,100,16,0.000010,0.023834,0.000012
4,100,16,0.000011,0.033565,0.000014
5,100,16,0.000010,0.030635,0.000013
6,100,16,0.000010,0.034522,0.000014
7,100,16,0.000010,0.030291,0.000014
8,100,16,0.000011,0.066775,0.000014
9,100,16,0.000010,0.046410,0.000017
10,100,16,0.000013,0.065075,0.000018
11,100,16,0.000016,0.055410,0.000016
12,100,16,0.000013,0.033820,0.000014
13,100,16,0.000011,0.031955,0.000012
14,100,16,0.000010,0.027888,0.000012
15,100,16,0.000010,0.034215,0.000013
16,100,16,0.000010,0.026372,0.000013
17,100,16,0.000011,0.027740,0.000013
18,100,16,0.000010,0.027984,0.000013
19,100,16,0.000010,0.026282,0.000013
20,100,16,0.000010,0.038447,0.000016
21,100,16,0.000010,0.027888,0.000014
22,100,16,0.000010,0.031269,0.000012
23,100,16,0.000010,0.032379,0.000013
24,100,16,0.000010,0.032623,0.000014
25,100,16,0.000011,0.042025,0.000012
